Energy	68Ga	68GaSaturation	67Ga	67GaSaturation	67Ga1	67GaSaturation1	66Ga	66GaSaturation	Range
	p,n		p,n		p,2n		p,n		
MeV	mb	MBq/uA	mb	MBq/uA	mb	MBq/uA	mb	MBq/uA	um
22.3	69.4	18228.41	82.8	13354.55	696.6	16431.11	85.4	13485.20053	1250.521649
22.4	68.3	18254.68	81.7	13384.98	694.2	16685.73	83.7	13517.36626	1260.229729
22.5	67.3	18280.68	80.7	13415.18	691.7	16940.79	82.0	13549.0513	1270
22.6	66.3	18306.42	79.7	13443.80	689.1	17184.57	80.3	13580.26405	1279.832461
22.7	65.3	18331.90	78.7	13473.42	686.4	17439.04	78.7	13611.00733	1289.727112
22.8	64.3	18357.14	77.8	13502.79	683.6	17693.29	77.2	13641.28284	1299.683954
22.9	63.4	18382.14	76.9	13531.87	680.6	17946.96	75.6	13671.0925	1309.702986
23.0	62.5	18406.90	76.0	13560.75	677.5	18200.54	74.1	13700.43842	1319.784209
23.1	61.7	18431.42	75.2	13589.45	674.3	18453.96	72.6	13729.32291	1329.927621
23.2	60.8	18455.72	74.5	13619.07	670.8	18716.96	71.2	13757.74848	1340.133224
23.3	60.0	18479.79	73.7	13646.19	667.3	18958.80	69.7	13785.71777	1350.401018
23.4	59.2	18503.63	73.0	13674.29	663.6	19210.33	68.4	13813.23356	1360.731002
23.5	58.5	18527.26	72.4	13702.26	659.9	19461.46	67.0	13840.2988	1371.123176
23.6	57.8	18550.68	71.8	13730.08	656.0	19711.91	65.6	13866.91654	1381.57754
23.7	57.0	18573.89	71.2	13758.83	652.0	19971.13	64.3	13893.08992	1392.094095
